,Number,"City,CountryCode",Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,1,"bacolod, ph",79.83,87,76,15.73
1,2,"leavenworth, us",71.51,31,1,8.05
2,3,"garowe, so",77.22,57,56,17.07
3,4,"panama city, us",77.95,94,1,3.36
4,5,"atuona, pf",79.65,100,0,19.75
5,6,"clyde river, ca",42.8,81,1,8.05
6,7,"qaanaaq, gl",37.62,95,56,2.42
7,8,"labuhan, id",83.43,71,8,3.53
8,9,"kosikha, ru",68.76,79,0,6.55
9,10,"ugoofaaru, mv",82.26,100,20,7.23
10,11,"acapulco, mx",78.8,94,90,6.93
11,12,"tiksi, ru",60.03,71,0,12.15
12,13,"bluff, nz",47.52,100,56,1.52
13,14,"hermanus, za",42.66,100,36,3.09
14,15,"port alfred, za",57.78,100,92,16.06
15,16,"lerwick, gb",52.7,71,64,14.99
16,17,"matagami, ca",66.2,72,20,6.93
17,18,"bonnyville, ca",68.0,68,75,4.7
18,19,"kainantu, pg",67.05,90,88,1.74
19,20,"romny, ru",73.71,83,68,4.65
20,21,"cape town, za",51.8,93,0,10.29
21,22,"yellowknife, ca",57.2,54,40,6.93
22,23,"bosobolo, cd",67.41,95,88,4.65
23,24,"avarua, ck",77.0,78,40,16.11
24,25,"rikitea, pf",74.79,99,32,13.71
25,26,"urazovo, ru",65.07,78,24,2.75
26,27,"victoria, sc",78.8,83,40,17.22
27,28,"abu zabad, sd",68.49,97,36,3.2
28,29,"hobart, au",60.8,51,75,13.87
29,30,"butaritari, ki",84.06,100,44,5.21
30,31,"meiktila, mm",80.55,87,64,8.57
31,32,"atar, mr",77.76,33,20,4.99
32,33,"saskylakh, ru",57.42,68,0,15.73
33,34,"fortuna, us",57.2,87,90,6.93
34,35,"bambous virieux, mu",71.6,64,40,8.05
35,36,"luanda, ao",68.0,88,40,3.36
36,37,"pahrump, us",97.83,5,1,11.41
37,38,"saint george, bm",80.6,74,40,11.41
38,39,"hit, iq",80.64,36,0,8.01
39,40,"new norfolk, au",60.8,51,75,13.87
40,41,"carnarvon, au",64.35,88,0,15.73
41,42,"bathsheba, bb",80.6,83,20,12.75
42,43,"mar del plata, ar",47.88,67,92,0.4
43,44,"busselton, au",58.86,100,68,21.32
44,45,"georgetown, sh",76.14,100,24,16.96
45,46,"vaini, to",71.6,64,75,13.87
46,47,"saint-philippe, re",66.09,56,20,6.93
47,48,"houma, us",78.87,83,1,3.36
48,49,"ushuaia, ar",33.8,86,40,23.04
49,50,"palmer, us",68.59,63,90,10.29
50,51,"cherskiy, ru",56.97,47,0,5.99
51,52,"iwanai, jp",70.56,92,0,3.87
52,53,"saldanha, za",55.4,93,92,8.05
53,54,"rio grande, br",55.08,98,92,16.51
54,55,"sao joao da barra, br",69.48,100,76,14.16
55,56,"boyolangu, id",81.09,50,0,11.25
56,57,"maiduguri, ng",70.11,100,92,6.89
57,58,"boa vista, br",75.2,94,75,2.24
58,59,"porto novo, cv",75.2,78,40,13.87
59,60,"shizukuishi, jp",75.61,100,75,2.24
60,61,"arraial do cabo, br",67.86,100,32,1.41
61,62,"bull savanna, jm",73.08,87,0,3.42
62,63,"punta arenas, cl",33.8,74,75,16.11
63,64,"vanavara, ru",61.2,69,0,7.67
64,65,"pacific grove, us",66.49,41,1,8.05
65,66,"mandalgovi, mn",62.37,100,92,12.26
66,67,"khatanga, ru",50.31,87,32,23.89
67,68,"hyderabad, in",78.8,83,75,11.41
68,69,"san policarpo, ph",85.41,87,32,15.05
69,70,"yerbogachen, ru",61.02,63,8,6.67
